src_ip,dst_ip,src_port,dst_port,packet_count,flow_duration,avg_packet_size,iat_mean,total_bytes
192.168.1.59,192.168.1.68,32442,80,7,0.2650979999999983,92.28571428571429,0.044182999999999716,646
192.168.1.50,192.168.1.38,32442,80,5,0.05167099999999891,40.0,0.012917749999999728,200
192.168.1.88,192.168.1.25,32442,80,7,0.20157700000000034,156.42857142857142,0.033596166666666726,1095
192.168.1.47,192.168.1.37,32442,80,11,1.1515629999999994,331.1818181818182,0.11515629999999995,3643
192.168.1.10,192.168.1.21,32442,80,11,0.8535569999999986,304.0,0.08535569999999985,3344
192.168.1.32,192.168.1.66,32442,80,11,1.0041040000000017,348.90909090909093,0.10041040000000016,3838
192.168.1.56,192.168.1.52,32442,80,9,0.7864880000000021,183.33333333333334,0.09831100000000026,1650
192.168.1.91,192.168.1.39,32442,80,7,0.27567800000000275,169.42857142857142,0.04594633333333379,1186
192.168.1.90,192.168.1.63,32442,80,15,0.8435079999999999,392.46666666666664,0.060250571428571424,5887
192.168.1.28,192.168.1.47,32442,80,14,1.1222160000000017,338.7857142857143,0.08632430769230783,4743
192.168.1.66,192.168.1.25,32442,80,7,0.20096900000000062,139.42857142857142,0.03349483333333344,976
192.168.1.87,192.168.1.99,32442,80,27,0.9697010000000006,679.6296296296297,0.03729619230769233,18350
192.168.1.28,192.168.1.12,32442,80,11,1.0238510000000005,221.0909090909091,0.10238510000000005,2432
192.168.1.77,192.168.1.81,32442,80,11,0.750390000000003,356.09090909090907,0.0750390000000003,3917
192.168.1.70,192.168.1.3,32442,80,7,0.22287399999999735,112.57142857142857,0.03714566666666622,788
192.168.1.9,192.168.1.95,32442,80,9,0.910459000000003,302.77777777777777,0.11380737500000038,2725
192.168.1.24,192.168.1.62,32442,80,7,0.21389699999999578,247.14285714285714,0.0356494999999993,1730
192.168.1.96,192.168.1.50,32442,80,11,1.1772199999999984,344.45454545454544,0.11772199999999984,3789
192.168.1.56,192.168.1.7,32442,80,11,0.7899980000000042,218.45454545454547,0.07899980000000043,2403
192.168.1.18,192.168.1.48,32442,80,9,1.0643030000000024,218.33333333333334,0.1330378750000003,1965
192.168.1.93,192.168.1.54,32442,80,7,0.15135800000000188,114.28571428571429,0.025226333333333645,800
192.168.1.20,192.168.1.90,32442,80,7,0.21624599999999816,152.14285714285714,0.03604099999999969,1065
192.168.1.92,192.168.1.88,32442,80,9,1.1129469999999984,174.77777777777777,0.1391183749999998,1573
192.168.1.79,192.168.1.29,32442,80,14,1.1048800000000014,376.2857142857143,0.08499076923076934,5268
192.168.1.1,192.168.1.83,32442,80,9,0.9079269999999937,202.33333333333334,0.11349087499999921,1821
192.168.1.37,192.168.1.97,32442,80,11,0.6098950000000016,352.54545454545456,0.06098950000000016,3878
192.168.1.99,192.168.1.89,32442,80,15,0.7911720000000031,322.3333333333333,0.05651228571428594,4835
192.168.1.56,192.168.1.58,32442,80,9,1.0513469999999998,314.8888888888889,0.13141837499999998,2834
192.168.1.64,192.168.1.83,32442,80,7,0.23109300000000133,250.85714285714286,0.03851550000000022,1756
192.168.1.98,192.168.1.44,32442,80,7,0.10749200000000059,171.28571428571428,0.017915333333333432,1199
192.168.1.69,192.168.1.41,32442,80,11,0.2936109999999985,241.0,0.029361099999999852,2651
192.168.1.73,192.168.1.75,32442,80,7,0.21752999999999645,233.57142857142858,0.036254999999999406,1635
192.168.1.55,192.168.1.47,32442,80,11,1.0566269999999989,327.09090909090907,0.10566269999999989,3598
192.168.1.80,192.168.1.14,32442,80,9,0.9234799999999979,182.66666666666666,0.11543499999999973,1644
192.168.1.25,192.168.1.32,32442,80,13,0.7206529999999987,357.0,0.060054416666666555,4641
192.168.1.83,192.168.1.67,32442,80,7,0.11829300000000131,170.57142857142858,0.01971550000000022,1194
192.168.1.56,192.168.1.24,32442,80,14,0.40077600000000047,332.2142857142857,0.03082892307692311,4651
192.168.1.43,192.168.1.13,32442,80,9,0.9167499999999933,302.8888888888889,0.11459374999999916,2726
192.168.1.18,192.168.1.37,32442,80,7,0.23049199999999814,142.0,0.038415333333333024,994
192.168.1.10,192.168.1.20,32442,80,9,0.7861950000000064,217.88888888888889,0.0982743750000008,1961
192.168.1.60,192.168.1.13,32442,80,11,0.9825900000000019,247.54545454545453,0.09825900000000018,2723
192.168.1.93,192.168.1.2,32442,80,7,0.13070599999999644,143.0,0.02178433333333274,1001
192.168.1.20,192.168.1.45,32442,80,50,1.0287019999999956,261.86,0.020993918367346848,13093
192.168.1.81,192.168.1.60,32442,80,7,0.2565450000000027,249.28571428571428,0.04275750000000045,1745
192.168.1.74,192.168.1.55,32442,80,7,0.16137999999999408,127.14285714285714,0.02689666666666568,890
192.168.1.61,192.168.1.77,32442,80,7,0.24505100000000368,235.14285714285714,0.040841833333333945,1646
192.168.1.70,192.168.1.41,32442,80,5,0.045774000000001536,40.0,0.011443500000000384,200
192.168.1.67,192.168.1.1,32442,80,7,0.21504699999999843,159.42857142857142,0.0358411666666664,1116
192.168.1.17,192.168.1.8,32442,80,11,1.1404949999999943,220.54545454545453,0.11404949999999943,2426
192.168.1.21,192.168.1.22,32442,80,7,0.17607500000000442,204.57142857142858,0.02934583333333407,1432
192.168.1.40,192.168.1.9,32442,80,11,0.4009179999999972,277.72727272727275,0.04009179999999972,3055
192.168.1.49,192.168.1.15,32442,80,9,1.1460910000000055,175.44444444444446,0.1432613750000007,1579
192.168.1.24,192.168.1.26,32442,80,5,0.06761699999999848,40.0,0.01690424999999962,200
192.168.1.18,192.168.1.96,32442,80,11,1.1805870000000027,224.8181818181818,0.11805870000000027,2473
192.168.1.57,192.168.1.59,32442,80,9,0.4208199999999991,291.3333333333333,0.052602499999999885,2622
192.168.1.68,192.168.1.10,32442,80,9,0.8962769999999978,300.0,0.11203462499999972,2700
192.168.1.91,192.168.1.39,32442,80,50,1.7016899999999993,624.5,0.03472836734693876,31225
192.168.1.90,192.168.1.53,32442,80,15,1.357652999999999,456.6666666666667,0.09697521428571422,6850
192.168.1.38,192.168.1.34,32442,80,11,1.0209550000000007,255.27272727272728,0.10209550000000008,2808
192.168.1.60,192.168.1.97,32442,80,11,0.54184699999999,264.45454545454544,0.054184699999998996,2909
192.168.1.20,192.168.1.21,32442,80,13,0.8960009999999983,294.84615384615387,0.07466674999999985,3833
192.168.1.89,192.168.1.60,32442,80,5,0.06628200000000106,40.0,0.016570500000000266,200
192.168.1.65,192.168.1.20,32442,80,7,0.2389440000000036,250.85714285714286,0.0398240000000006,1756
192.168.1.89,192.168.1.93,32442,80,18,1.2139099999999985,547.2777777777778,0.07140647058823521,9851
192.168.1.91,192.168.1.75,32442,80,7,0.15797699999998827,95.28571428571429,0.026329499999998045,667
